Complaint,Category,Urgency
I didn’t approve this transaction. despite following all instructions,Payments,Low
Billing and shipping addresses keep getting swapped. which is unacceptable,Account & Shipping,High
My tracking shows 'label created' for 5 days with no movement. — this is very frustrating,Order Tracking,Immediate
It says 'Buy 1 Get 1 Free' but I was charged for both items. and it's really disappointing,Promotions,Medium
I can’t change my shipping method after ordering. even after multiple attempts,Account & Shipping,Immediate
The zipper broke the first time I used the bag. and I don't know what to do next,Product Issues,Low
The discount code I got by email doesn’t work on any items. and it's really disappointing,Promotions,Medium
Search results don’t load anything anymore. despite following all instructions,Technical Issues,Immediate
"Referral code said $10 off, but it did nothing. which is unacceptable",Promotions,High
I received store credit instead of a cash refund I requested. please fix this ASAP,Refunds,High
I want a refund but there's no option in the return menu. which is unacceptable,Refunds,High
I didn’t approve this transaction. and there's no explanation anywhere,Payments,Immediate
Wrong items delivered — not even close to what I ordered. and I need help urgently,Order Issues,Low
It shipped to the wrong apartment. and there's no explanation anywhere,Account & Shipping,Immediate
Instructions were unclear and impossible to follow. which is unacceptable,Product Issues,Low
I updated my address but order still went to the old one. and I need help urgently,Account & Shipping,Medium
I want a refund but there's no option in the return menu. and I need help urgently,Refunds,Medium
Shipping info shows a state I don’t live in. which is unacceptable,Account & Shipping,Immediate
Missing accessories from the package.,Product Issues,Immediate
The courier lost my order — I need a replacement ASAP. and it's really disappointing,Order Tracking,Medium
I never got tracking info in the first place. despite following all instructions,Order Tracking,Low
Still waiting for confirmation that my refund is being processed. which is unacceptable,Refunds,Medium
Used Apple Pay — no order confirmation received. and I don't know what to do next,Payments,Immediate
My loyalty points are missing even after multiple purchases. and there's no explanation anywhere,Promotions,Low
"Tracking says delivered, but nothing is at my door. — this is very frustrating",Order Tracking,Immediate
Your support team said I’d get refunded — it's been a week. which is unacceptable,Refunds,Immediate
Only part of my order arrived — the rest is missing. and it's really disappointing,Order Issues,Medium
Duplicate orders were placed by mistake and I can't cancel. please fix this ASAP,Order Issues,Immediate
Can’t apply filters while browsing products. even after multiple attempts,Technical Issues,High
Flash sale prices aren’t reflected during checkout. please fix this ASAP,Promotions,Immediate
"Bank says payment went through, you say it didn’t. and I need help urgently",Payments,Low
"Referral code said $10 off, but it did nothing. and there's no explanation anywhere",Promotions,Immediate
Wrong items delivered — not even close to what I ordered. please fix this ASAP,Order Issues,High
Your support team said I’d get refunded — it's been a week. and it's really disappointing,Refunds,Low
Shipping info shows a state I don’t live in. — this is very frustrating,Account & Shipping,Medium
Missing accessories from the package. and it's really disappointing,Product Issues,Immediate
Flash sale prices aren’t reflected during checkout. and I don't know what to do next,Promotions,Medium
I was charged twice for the same item. and I don't know what to do next,Payments,Low
App is extremely slow today. even after multiple attempts,Technical Issues,Low
One side of the headphones doesn't work. despite following all instructions,Product Issues,High
"Referral code said $10 off, but it did nothing. — this is very frustrating",Promotions,Immediate
Transaction failed but my card got debited anyway. please fix this ASAP,Payments,Immediate
The app froze during checkout and now my cart is empty. and I need help urgently,Technical Issues,Low
Wrong items delivered — not even close to what I ordered. and it's really disappointing,Order Issues,Immediate
It looks like a returned item — packaging was already opened. even after multiple attempts,Product Issues,Medium
Can’t reset my password — reset link doesn’t work. please fix this ASAP,Account & Shipping,Low
My order shows 'fulfilled' but I never received it. even after multiple attempts,Order Issues,High
"The box arrived empty, just packing materials. and I don't know what to do next",Order Issues,Immediate
There’s a mystery fee added to my final bill. even after multiple attempts,Payments,Low
There’s a mystery fee added to my final bill. and it's really disappointing,Payments,Medium
The item arrived broken and unusable. — this is very frustrating,Product Issues,Immediate
I received store credit instead of a cash refund I requested. which is unacceptable,Refunds,High
Only part of my order arrived — the rest is missing. — this is very frustrating,Order Issues,Immediate
It looks like a returned item — packaging was already opened. despite following all instructions,Product Issues,Immediate
I paid for express delivery and it’s still not shipped. and it's really disappointing,Order Tracking,Low
My tracking shows 'label created' for 5 days with no movement. even after multiple attempts,Order Tracking,Medium
I can’t change my shipping method after ordering. and it's really disappointing,Account & Shipping,Immediate
It keeps saying my email is invalid. — this is very frustrating,Account & Shipping,Low
I clicked on a 15% off ad and it vanished at checkout. — this is very frustrating,Promotions,Immediate
Why was one of my items refunded without asking? and it's really disappointing,Order Issues,Immediate
I got charged but no confirmation email came through. and I don't know what to do next,Order Issues,Low
The colors in the product photos are completely misleading. please fix this ASAP,Product Issues,Immediate
Everything came except the most expensive item I paid for. and it's really disappointing,Order Issues,Medium
I updated my address but order still went to the old one. — this is very frustrating,Account & Shipping,High
Search results don’t load anything anymore. and it's really disappointing,Technical Issues,Medium
Everything came except the most expensive item I paid for. and there's no explanation anywhere,Order Issues,High
The discount code I got by email doesn’t work on any items. despite following all instructions,Promotions,Low
My order shows 'fulfilled' but I never received it. which is unacceptable,Order Issues,Medium
The site accepted my payment but shows no order. despite following all instructions,Payments,Low
I didn’t approve this transaction. which is unacceptable,Payments,Low
Your system rejected my student discount for no reason. and I need help urgently,Promotions,Low
Can’t reset my password — reset link doesn’t work. even after multiple attempts,Account & Shipping,Low
Why was a restocking fee deducted from my refund? and I need help urgently,Refunds,High
The site accepted my payment but shows no order. and there's no explanation anywhere,Payments,Immediate
The zipper broke the first time I used the bag. despite following all instructions,Product Issues,High
"I used a valid code and it applied, but was later removed. despite following all instructions",Promotions,High
My tracking shows 'label created' for 5 days with no movement. and it's really disappointing,Order Tracking,Immediate
The shipping company marked it as delivered to the wrong city. even after multiple attempts,Order Tracking,High
One side of the headphones doesn't work. and I don't know what to do next,Product Issues,High
I returned everything and only got a partial refund. despite following all instructions,Refunds,Low
This isn't what I ordered — it’s the wrong model. despite following all instructions,Product Issues,Medium
I paid for express delivery and it’s still not shipped. which is unacceptable,Order Tracking,Low
It has a foul odor like chemicals. and I don't know what to do next,Product Issues,High
I never received the promised sign-up bonus. despite following all instructions,Promotions,Low
The shipping company marked it as delivered to the wrong city. and I don't know what to do next,Order Tracking,High
"You're advertising free shipping, but I'm being charged for it. and I need help urgently",Promotions,Low
Package was rerouted without telling me. which is unacceptable,Order Tracking,Low
Why was one of my items refunded without asking? — this is very frustrating,Order Issues,Medium
Your system rejected my student discount for no reason. despite following all instructions,Promotions,Low
"The return was delivered, but no refund yet. and it's really disappointing",Refunds,High
Can’t apply filters while browsing products.,Technical Issues,Low
